Date : 2023-05-28 17:19:59
Directory : /Users/shanehogan/development/white_ui_supabase4
Total : 141 files,  9358 codes, 933 comments, 963 blanks, all 11254 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        116 |      8,807 |        787 |        881 |     10,475 |
| JSON       |          4 |        186 |          0 |          4 |        190 |
| XML        |          9 |        123 |         46 |         11 |        180 |
| Groovy     |          3 |         88 |          3 |         22 |        113 |
| HTML       |          1 |         80 |         18 |          7 |        105 |
| YAML       |          2 |         40 |         78 |         24 |        142 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        141 |      9,358 |        933 |        963 |     11,254 |
| . (Files)                                                                                                             |          3 |         50 |         78 |         31 |        159 |
| android                                                                                                               |         12 |        158 |         48 |         33 |        239 |
| android (Files)                                                                                                       |          3 |         38 |          0 |         10 |         48 |
| android/app                                                                                                           |          8 |        115 |         47 |         22 |        184 |
| android/app (Files)                                                                                                   |          1 |         53 |          3 |         13 |         69 |
| android/app/src                                                                                                       |          7 |         62 |         44 |          9 |        115 |
| android/app/src/debug                                                                                                 |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                  |          5 |         54 |         38 |          7 |         99 |
| android/app/src/main (Files)                                                                                          |          1 |         28 |          6 |          1 |         35 |
| android/app/src/main/res                                                                                              |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                       |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                               |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                        |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                   |          8 |        228 |          2 |         10 |        240 |
| ios/Runner                                                                                                            |          8 |        228 |          2 |         10 |        240 |
| ios/Runner (Files)                                                                                                    |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                            |          4 |        154 |          0 |          5 |        159 |
| ios/Runner/Assets.xcassets (Files)                                                                                    |          1 |          6 |          0 |          1 |          7 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                         |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/appstore.imageset                                                                          |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                 |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                   |        115 |      8,807 |        763 |        874 |     10,444 |
| lib (Files)                                                                                                           |          1 |         80 |          0 |          5 |         85 |
| lib/auxiliaries                                                                                                       |         53 |      3,207 |        302 |        271 |      3,780 |
| lib/auxiliaries/helpers                                                                                               |         10 |        745 |         38 |         65 |        848 |
| lib/auxiliaries/helpers (Files)                                                                                       |          4 |        568 |          5 |         39 |        612 |
